Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,ermine,,Accepted,No,Approved,Present,,Native,,Uncommon,Exploitation Concern; Breeder,,,2,,1,,,,,GNR,
,ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,long-tailed weasel,,Accepted,No,Approved,Present,,Native,,Common,Exploitation Concern; Breeder,,,3,,17,,,,,,
,ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,Mink,,Accepted,No,Approved,Present,,Native,,Rare,Exploitation Concern; Breeder,,,1,,3,,,,,,
,ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,badger,,Accepted,No,Approved,Present,,Native,,Uncommon,Exploitation Concern; Breeder,,,1,,8,,SC,,,G5,CO: S4
,ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,In Review,Unconfirmed,,,,,,,,1,,,,SC,,,G5,CO: S4
,ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,raccoon,,Accepted,No,Approved,Present,,Native,,Unknown,Exploitation Concern; Breeder,,,2,,5,,,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,black bear,,Accepted,No,Approved,Present,,Native,,Common,Exploitation Concern; Breeder,,,3,,2,,,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Ursidae,93279,180543,Active,Ursus arctos,Grizzly Bear,,Accepted,No,Approved,Not In Park,Historical,Native,,,Management Priority,,,1,,,,,CO: SE,,G4,CO: SX
,ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,Brazilian free-tailed bat,,Accepted,No,Approved,Not In Park,,Native,,,,,,2,,1,,,,,G5,CO: S1
,ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,"mule-eared bat, Pacific Townsend's big-eared bat, Townsend's Big-eared Bat, western big-eared bat, western long-eared bat, western lump-nosed bat",Plecotus townsendii,Accepted,No,Approved,Present,,Native,,,Management Priority,,,3,2,,,,,,G4,CO: S2
,ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,,Accepted,No,Approved,Present,,Native,,,,,,3,2,,,SC,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,silver-haired bat,,Accepted,No,Approved,Present,,Native,,Unknown,Resident,,,3,,1,,SC,,,G3G4,CO: S3S4
