Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,GLAC,Glacier National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,racoon,,Accepted,No,Approved,Present,,Non-native,,Occasional,,,,1,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,black bear,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Carnivora,Ursidae,107229,202385,Active,Ursus arctos horribilis,Grizzly bear,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,T,,,,
,GLAC,Glacier National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,,,SC,,,G5,MT: S4
,GLAC,Glacier National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,silver-haired bat,,Accepted,No,Approved,Present,,Native,,Unknown,,,,1,,,,SC,MT: PSOC,,G3G4,MT: S4
,GLAC,Glacier National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,hoary bat,,Accepted,No,Approved,Probably Present,,Native,,,,,,,,,,SU,MT: SOC,,G3G4,MT: S3B
,GLAC,Glacier National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,"California Myotis, Californian Myotis",,Accepted,No,In Review,Present,,Native,,Common,Breeder,,,,,,,SC,,,G5,MT: S4
,GLAC,Glacier National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,long-eared bat,,Accepted,No,Approved,Present,,Native,,Unknown,,,,1,,,,SC,,,G5,MT: S3
,GLAC,Glacier National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,little brown bat,,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,1,,,,UR,MT: SOC,,G3G4,MT: S3
,GLAC,Glacier National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,long-legged bat,,Accepted,No,Approved,Probably Present,,Native,,,,,,,,,,SC,,,G4G5,MT: S3
,GLAC,Glacier National Park,Mammal,1,Lagomorpha,Leporidae,89638,180112,Active,Lepus americanus,snowshoe hare,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,1,,,,,G5,MT: S4
,GLAC,Glacier National Park,Mammal,1,Lagomorpha,Leporidae,89644,180118,Active,Lepus townsendii,white-tailed jackrabbit,,Accepted,No,Approved,Present,,Native,,Occasional,Vagrant,,,1,,,,,,,G5,MT: S4
,GLAC,Glacier National Park,Mammal,1,Lagomorpha,Ochotonidae,89634,180109,Active,Ochotona princeps,pika,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,,,RT,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,beaver,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Rodentia,Cricetidae,90763,180294,Active,Clethrionomys gapperi,red-backed vole,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Rodentia,Cricetidae,90768,180299,Active,Microtus longicaudus,long-tailed vole,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Rodentia,Cricetidae,90766,180297,Active,Microtus pennsylvanicus,meadow vole,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,2,,9,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Rodentia,Cricetidae,91706,180315,Active,Microtus richardsoni,water vole,Arvicola richardsoni,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,4,,,MT: PSOC,,G5,MT: S4
,GLAC,Glacier National Park,Mammal,1,Rodentia,Cricetidae,91768,180371,Active,Neotoma cinerea,bushy-tailed wood rat,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,muskrat,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,1,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Rodentia,Cricetidae,90742,180275,Active,Peromyscus,"Deer Mice, White-footed Mice",,Undecided,No,In Review,,,,,,,,,,,1,,,,,,
,GLAC,Glacier National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,deer mouse,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,2,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Rodentia,Cricetidae,91754,180359,Active,Phenacomys intermedius,montane heather vole,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,,1,,,,,G5,MT: S4
,GLAC,Glacier National Park,Mammal,1,Rodentia,Cricetidae,91715,180323,Active,Synaptomys borealis,northern bog lemming,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,1,,,,UR,MT: SOC,,G5,MT: S2
,GLAC,Glacier National Park,Mammal,1,Rodentia,Dipodidae,91785,180387,Active,Zapus princeps,western jumping mouse,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2,,1,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,porcupine,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,,,,MT: PSOC,,G5,MT: S3S4
,GLAC,Glacier National Park,Mammal,1,Rodentia,Geomyidae,90690,180228,Active,Thomomys talpoides,northern pocket gopher,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Rodentia,Sciuridae,89673,180144,Active,Eutamias minimus,least chipmunk,,Accepted,No,Approved,Probably Present,,Native,,,,,,,,,,,,,,
,GLAC,Glacier National Park,Mammal,1,Rodentia,Sciuridae,89700,180169,Active,Glaucomys sabrinus,northern flying squirrel,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,,,,G5,MT: S4
,GLAC,Glacier National Park,Mammal,1,Rodentia,Sciuridae,89667,180139,Active,Marmota caligata,hoary marmot,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,,,,MT: PSOC,,G5,MT: S3S4
,GLAC,Glacier National Park,Mammal,1,Rodentia,Sciuridae,89669,180140,Active,Marmota flaviventris,yellow-bellied marmot,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Rodentia,Sciuridae,89674,180145,Active,Spermophilus,"Ground Squirrels, old world ground squirrels",,Undecided,No,In Review,,,,,,,,,,,2,,,,,,
,GLAC,Glacier National Park,Mammal,1,Rodentia,Sciuridae,89681,180151,Active,Spermophilus columbianus,Columbian ground squirrel,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,,,,,,,,
,GLAC,Glacier National Park,Mammal,1,Rodentia,Sciuridae,89684,180154,Active,Spermophilus lateralis,golden-mantled ground squirrel,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,,,,,,,
,GLAC,Glacier National Park,Mammal,1,Rodentia,Sciuridae,89687,180157,Active,Spermophilus richardsonii,richardson's ground squirrel,,Accepted,No,Approved,Present,,Native,,Occasional,,,,1,,,,,,,,
,GLAC,Glacier National Park,Mammal,1,Rodentia,Sciuridae,89693,180162,Active,Spermophilus tridecemlineatus,thirteen-lined ground squirrel,,Accepted,No,Approved,Present,,Native,,Occasional,,,,1,,,,,,,,
,GLAC,Glacier National Park,Mammal,1,Rodentia,Sciuridae,90648,180190,Active,Tamias amoenus,chipmunk (yellow pine),Eutamias amoenus,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,1,,,,,,,,
,GLAC,Glacier National Park,Mammal,1,Rodentia,Sciuridae,90662,180202,Active,Tamias ruficaudus,chipmunk (red tailed),Eutamias ruficaudus,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,1,,,,,,,,
,GLAC,Glacier National Park,Mammal,1,Rodentia,Sciuridae,89697,180166,Active,Tamiasciurus hudsonicus,red squirrel,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,1,,,,,,,G5,MT: S5
